Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind offshore [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Nuclear [MWh] Original resolutions;Lignite [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Dec 3, 2025 11:00 PM;Dec 3, 2025 11:15 PM;1,011.69;359.69;402.79;1,098.74;0.00;23.81;-;2,672.49;1,411.19;3,843.62;495.31;523.92
Dec 3, 2025 11:15 PM;Dec 3, 2025 11:30 PM;1,008.94;358.92;418.88;1,083.75;0.00;23.81;-;2,638.88;1,429.58;3,770.84;583.49;524.09
Dec 3, 2025 11:30 PM;Dec 3, 2025 11:45 PM;1,005.53;360.31;427.68;1,088.75;0.00;23.81;-;2,605.97;1,434.74;3,764.36;724.68;528.57
Dec 3, 2025 11:45 PM;Dec 4, 2025 12:00 AM;1,005.27;360.03;439.46;1,072.56;0.00;23.81;-;2,611.40;1,437.89;3,759.26;736.89;531.97
Dec 4, 2025 12:00 AM;Dec 4, 2025 12:15 AM;995.45;362.17;417.22;1,067.46;0.00;23.56;-;2,609.90;1,453.46;3,702.76;63.21;507.32
Dec 4, 2025 12:15 AM;Dec 4, 2025 12:30 AM;991.57;368.37;406.43;1,068.49;0.00;23.56;-;2,618.40;1,454.16;3,658.54;71.06;525.27
Dec 4, 2025 12:30 AM;Dec 4, 2025 12:45 AM;988.89;372.96;389.27;1,046.53;0.00;23.56;-;2,612.77;1,457.21;3,653.56;100.25;525.33
Dec 4, 2025 12:45 AM;Dec 4, 2025 1:00 AM;991.01;367.72;380.15;1,011.38;0.00;23.56;-;2,628.52;1,463.90;3,648.85;80.78;526.54
Dec 4, 2025 1:00 AM;Dec 4, 2025 1:15 AM;983.67;371.89;363.39;985.01;0.00;23.56;-;2,650.76;1,468.18;3,673.49;64.38;528.39
Dec 4, 2025 1:15 AM;Dec 4, 2025 1:30 AM;982.07;371.00;335.87;976.32;0.00;23.56;-;2,651.21;1,461.84;3,656.91;36.10;526.50
Dec 4, 2025 1:30 AM;Dec 4, 2025 1:45 AM;983.91;369.71;340.63;974.90;0.00;23.56;-;2,658.45;1,448.90;3,651.33;37.53;527.54
Dec 4, 2025 1:45 AM;Dec 4, 2025 2:00 AM;983.59;370.71;333.00;975.21;0.00;23.56;-;2,664.67;1,435.10;3,651.92;40.08;526.42
Dec 4, 2025 2:00 AM;Dec 4, 2025 2:15 AM;982.48;373.55;311.41;961.73;0.00;23.56;-;2,654.68;1,424.19;3,684.00;48.92;527.49
Dec 4, 2025 2:15 AM;Dec 4, 2025 2:30 AM;983.42;369.81;287.44;941.29;0.00;23.56;-;2,629.66;1,416.74;3,699.82;43.70;531.88
Dec 4, 2025 2:30 AM;Dec 4, 2025 2:45 AM;983.39;368.27;282.55;937.64;0.00;23.56;-;2,624.62;1,412.73;3,699.70;34.26;532.21
Dec 4, 2025 2:45 AM;Dec 4, 2025 3:00 AM;981.18;369.01;281.34;950.28;0.00;23.56;-;2,614.99;1,437.83;3,705.06;34.54;525.97
Dec 4, 2025 3:00 AM;Dec 4, 2025 3:15 AM;981.47;370.02;270.05;966.86;0.00;23.56;-;2,594.42;1,435.96;3,715.65;35.65;525.68
Dec 4, 2025 3:15 AM;Dec 4, 2025 3:30 AM;980.28;372.55;281.57;968.88;0.00;23.56;-;2,592.66;1,444.23;3,718.03;44.68;527.30
Dec 4, 2025 3:30 AM;Dec 4, 2025 3:45 AM;982.43;369.04;282.60;989.38;0.00;23.56;-;2,604.76;1,462.19;3,716.21;38.48;530.38
Dec 4, 2025 3:45 AM;Dec 4, 2025 4:00 AM;985.78;369.95;286.87;998.13;0.00;23.56;-;2,581.11;1,480.75;3,709.95;48.95;522.66
Dec 4, 2025 4:00 AM;Dec 4, 2025 4:15 AM;988.22;370.58;290.06;1,011.77;0.00;23.56;-;2,635.35;1,506.63;3,652.74;55.55;522.45
Dec 4, 2025 4:15 AM;Dec 4, 2025 4:30 AM;989.73;371.18;289.49;1,013.72;0.00;23.56;-;2,588.73;1,525.13;3,629.59;76.73;523.79
Dec 4, 2025 4:30 AM;Dec 4, 2025 4:45 AM;989.06;373.83;302.23;1,023.61;0.00;23.56;-;2,588.21;1,560.38;3,606.86;80.45;524.84
Dec 4, 2025 4:45 AM;Dec 4, 2025 5:00 AM;989.89;372.21;332.21;1,039.29;0.00;23.56;-;2,581.00;1,595.41;3,626.70;84.30;522.59
Dec 4, 2025 5:00 AM;Dec 4, 2025 5:15 AM;993.69;372.66;333.55;1,047.83;0.00;23.56;-;2,631.85;1,635.72;3,645.42;96.54;520.64
Dec 4, 2025 5:15 AM;Dec 4, 2025 5:30 AM;995.66;371.70;310.07;1,042.60;0.00;23.56;-;2,693.25;1,655.46;3,640.22;84.20;524.93
Dec 4, 2025 5:30 AM;Dec 4, 2025 5:45 AM;995.45;370.44;306.34;1,056.66;0.00;23.56;-;2,696.93;1,673.03;3,655.10;86.99;527.26
Dec 4, 2025 5:45 AM;Dec 4, 2025 6:00 AM;1,001.07;369.22;311.03;1,070.44;0.00;23.56;-;2,693.53;1,672.68;3,720.59;122.29;525.64
Dec 4, 2025 6:00 AM;Dec 4, 2025 6:15 AM;1,011.64;379.73;323.37;1,108.21;0.00;23.56;-;2,757.94;1,673.38;3,871.36;175.17;531.36
Dec 4, 2025 6:15 AM;Dec 4, 2025 6:30 AM;1,019.71;378.65;335.00;1,132.64;0.00;23.56;-;2,877.08;1,649.75;3,925.69;217.99;538.80
Dec 4, 2025 6:30 AM;Dec 4, 2025 6:45 AM;1,024.34;410.71;334.33;1,158.36;0.00;23.56;-;2,912.44;1,650.81;3,970.31;276.84;539.52
Dec 4, 2025 6:45 AM;Dec 4, 2025 7:00 AM;1,030.80;453.35;341.76;1,181.04;0.00;23.56;-;2,917.40;1,654.13;3,985.17;377.10;542.29
Dec 4, 2025 7:00 AM;Dec 4, 2025 7:15 AM;1,049.15;467.27;347.40;1,198.06;0.00;23.56;-;2,902.78;1,630.11;4,062.65;517.37;545.97
Dec 4, 2025 7:15 AM;Dec 4, 2025 7:30 AM;1,058.19;501.19;343.10;1,211.39;0.00;23.56;-;2,912.96;1,627.86;4,064.17;924.53;547.19
Dec 4, 2025 7:30 AM;Dec 4, 2025 7:45 AM;1,063.44;501.56;378.87;1,264.35;0.25;23.56;-;2,943.77;1,618.59;4,067.82;1,062.33;550.02
Dec 4, 2025 7:45 AM;Dec 4, 2025 8:00 AM;1,071.30;491.59;420.86;1,332.18;1.77;23.56;-;3,007.30;1,600.76;4,075.51;1,176.65;552.00
Dec 4, 2025 8:00 AM;Dec 4, 2025 8:15 AM;1,084.65;474.83;438.12;1,353.39;14.08;23.56;-;3,037.34;1,578.40;4,102.22;1,096.39;557.09
Dec 4, 2025 8:15 AM;Dec 4, 2025 8:30 AM;1,093.41;487.53;434.51;1,365.84;67.01;23.56;-;3,052.29;1,559.04;4,114.39;1,059.34;530.84
Dec 4, 2025 8:30 AM;Dec 4, 2025 8:45 AM;1,097.70;523.83;439.76;1,370.52;170.20;23.56;-;3,055.22;1,541.04;4,131.60;1,051.31;529.80
Dec 4, 2025 8:45 AM;Dec 4, 2025 9:00 AM;1,098.60;522.58;447.90;1,389.48;303.37;23.56;-;3,056.06;1,515.96;4,131.59;1,033.54;530.14
Dec 4, 2025 9:00 AM;Dec 4, 2025 9:15 AM;1,094.11;519.35;460.95;1,412.48;441.45;23.56;-;3,069.07;1,518.86;4,110.95;1,004.66;526.92
Dec 4, 2025 9:15 AM;Dec 4, 2025 9:30 AM;1,092.76;519.10;475.75;1,417.81;607.24;23.56;-;3,067.67;1,521.27;4,107.57;896.53;525.04
Dec 4, 2025 9:30 AM;Dec 4, 2025 9:45 AM;1,091.27;522.24;437.66;1,411.56;781.05;23.56;-;3,063.40;1,519.82;4,095.25;884.97;527.69
Dec 4, 2025 9:45 AM;Dec 4, 2025 10:00 AM;1,091.07;563.12;412.62;1,401.54;959.76;23.56;-;3,060.69;1,518.36;4,106.20;733.91;528.72
Dec 4, 2025 10:00 AM;Dec 4, 2025 10:15 AM;1,070.87;543.03;416.53;1,368.67;1,134.27;23.56;-;3,030.85;1,528.00;4,058.01;693.27;529.35
Dec 4, 2025 10:15 AM;Dec 4, 2025 10:30 AM;1,068.20;521.34;422.37;1,336.70;1,303.40;23.56;-;3,024.10;1,529.79;4,050.38;533.25;525.68
Dec 4, 2025 10:30 AM;Dec 4, 2025 10:45 AM;1,067.05;509.03;438.65;1,293.72;1,453.14;23.56;-;3,031.98;1,537.22;4,038.21;533.78;523.58
Dec 4, 2025 10:45 AM;Dec 4, 2025 11:00 AM;1,063.00;505.60;459.16;1,249.21;1,571.90;23.56;-;3,016.24;1,536.98;4,036.04;493.48;521.90
Dec 4, 2025 11:00 AM;Dec 4, 2025 11:15 AM;1,054.09;497.97;462.10;1,205.49;1,676.82;23.56;-;2,994.22;1,527.17;4,017.25;411.02;521.24
Dec 4, 2025 11:15 AM;Dec 4, 2025 11:30 AM;1,052.69;493.92;442.31;1,175.00;1,765.62;23.56;-;3,005.94;1,512.62;4,030.39;296.42;523.75
Dec 4, 2025 11:30 AM;Dec 4, 2025 11:45 AM;1,052.04;487.75;445.64;1,107.02;1,824.68;23.56;-;3,007.68;1,523.16;4,023.54;261.10;523.58
Dec 4, 2025 11:45 AM;Dec 4, 2025 12:00 PM;1,054.28;490.73;450.31;1,048.22;1,860.44;23.56;-;3,021.09;1,526.69;4,018.74;266.10;522.33
Dec 4, 2025 12:00 PM;Dec 4, 2025 12:15 PM;1,042.82;479.01;438.77;1,005.02;1,887.93;23.56;-;3,101.88;1,534.54;4,006.21;398.41;517.66
Dec 4, 2025 12:15 PM;Dec 4, 2025 12:30 PM;1,039.12;481.44;441.08;964.78;1,906.23;23.56;-;3,114.13;1,543.42;4,010.18;294.95;524.09
Dec 4, 2025 12:30 PM;Dec 4, 2025 12:45 PM;1,040.25;476.62;439.48;940.94;1,891.19;23.56;-;3,161.89;1,543.61;4,021.70;351.00;532.02
Dec 4, 2025 12:45 PM;Dec 4, 2025 1:00 PM;1,039.91;472.50;437.59;927.91;1,847.08;23.56;-;3,180.66;1,545.54;4,019.32;349.71;532.18
Dec 4, 2025 1:00 PM;Dec 4, 2025 1:15 PM;1,037.88;468.78;421.36;918.53;1,794.76;23.56;-;3,198.96;1,546.37;4,024.61;395.65;533.03
Dec 4, 2025 1:15 PM;Dec 4, 2025 1:30 PM;1,037.82;488.88;409.31;916.02;1,699.68;23.56;-;3,191.00;1,548.89;4,026.70;442.46;532.72
