"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","MTU (CET/CEST) Start","MTU (CET/CEST) End","SummerIndicator","MTU (CET/CEST) End UTC"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DE-AT-LU","Without Sequence",23.86,"01/01/2016 00:00:00","2016-01-01T01:00","CET","2016-01-01T00:00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DE-AT-LU","Without Sequence",22.39,"01/01/2016 01:00:00","2016-01-01T02:00","CET","2016-01-01T01:00"
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|DE-AT-LU","Without Sequence",20.59,"01/01/2016 02:00:00","2016-01-01T03:00","CET","2016-01-01T02:00"
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|DE-AT-LU","Without Sequence",16.81,"01/01/2016 03:00:00","2016-01-01T04:00","CET","2016-01-01T03:00"
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|DE-AT-LU","Without Sequence",17.41,"01/01/2016 04:00:00","2016-01-01T05:00","CET","2016-01-01T04:00"
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|DE-AT-LU","Without Sequence",17.02,"01/01/2016 05:00:00","2016-01-01T06:00","CET","2016-01-01T05:00"
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|DE-AT-LU","Without Sequence",15.86,"01/01/2016 06:00:00","2016-01-01T07:00","CET","2016-01-01T06:00"
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|DE-AT-LU","Without Sequence",18.16,"01/01/2016 07:00:00","2016-01-01T08:00","CET","2016-01-01T07:00"
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|DE-AT-LU","Without Sequence",17.73,"01/01/2016 08:00:00","2016-01-01T09:00","CET","2016-01-01T08:00"
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|DE-AT-LU","Without Sequence",19.77,"01/01/2016 09:00:00","2016-01-01T10:00","CET","2016-01-01T09:00"
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|DE-AT-LU","Without Sequence",23.75,"01/01/2016 10:00:00","2016-01-01T11:00","CET","2016-01-01T10:00"
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|DE-AT-LU","Without Sequence",26.03,"01/01/2016 11:00:00","2016-01-01T12:00","CET","2016-01-01T11:00"
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|DE-AT-LU","Without Sequence",27.06,"01/01/2016 12:00:00","2016-01-01T13:00","CET","2016-01-01T12:00"
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|DE-AT-LU","Without Sequence",26.59,"01/01/2016 13:00:00","2016-01-01T14:00","CET","2016-01-01T13:00"
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|DE-AT-LU","Without Sequence",25,"01/01/2016 14:00:00","2016-01-01T15:00","CET","2016-01-01T14:00"
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|DE-AT-LU","Without Sequence",24.43,"01/01/2016 15:00:00","2016-01-01T16:00","CET","2016-01-01T15:00"
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|DE-AT-LU","Without Sequence",28.87,"01/01/2016 16:00:00","2016-01-01T17:00","CET","2016-01-01T16:00"
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|DE-AT-LU","Without Sequence",37.44,"01/01/2016 17:00:00","2016-01-01T18:00","CET","2016-01-01T17:00"
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|DE-AT-LU","Without Sequence",37.41,"01/01/2016 18:00:00","2016-01-01T19:00","CET","2016-01-01T18:00"
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|DE-AT-LU","Without Sequence",35.34,"01/01/2016 19:00:00","2016-01-01T20:00","CET","2016-01-01T19:00"
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|DE-AT-LU","Without Sequence",33.07,"01/01/2016 20:00:00","2016-01-01T21:00","CET","2016-01-01T20:00"
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|DE-AT-LU","Without Sequence",29.52,"01/01/2016 21:00:00","2016-01-01T22:00","CET","2016-01-01T21:00"
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|DE-AT-LU","Without Sequence",30.1,"01/01/2016 22:00:00","2016-01-01T23:00","CET","2016-01-01T22:00"
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|DE-AT-LU","Without Sequence",30.1,"01/01/2016 23:00:00","2016-01-02T00:00","CET","2016-01-01T23:00"
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|DE-AT-LU","Without Sequence",22.2,"02/01/2016 00:00:00","2016-01-02T01:00","CET","2016-01-02T00:00"
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|DE-AT-LU","Without Sequence",16.57,"02/01/2016 01:00:00","2016-01-02T02:00","CET","2016-01-02T01:00"
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|DE-AT-LU","Without Sequence",15.35,"02/01/2016 02:00:00","2016-01-02T03:00","CET","2016-01-02T02:00"
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|DE-AT-LU","Without Sequence",12.77,"02/01/2016 03:00:00","2016-01-02T04:00","CET","2016-01-02T03:00"
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|DE-AT-LU","Without Sequence",11.27,"02/01/2016 04:00:00","2016-01-02T05:00","CET","2016-01-02T04:00"
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|DE-AT-LU","Without Sequence",11.91,"02/01/2016 05:00:00","2016-01-02T06:00","CET","2016-01-02T05:00"
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|DE-AT-LU","Without Sequence",12.62,"02/01/2016 06:00:00","2016-01-02T07:00","CET","2016-01-02T06:00"
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|DE-AT-LU","Without Sequence",13.83,"02/01/2016 07:00:00","2016-01-02T08:00","CET","2016-01-02T07:00"
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|DE-AT-LU","Without Sequence",16.12,"02/01/2016 08:00:00","2016-01-02T09:00","CET","2016-01-02T08:00"
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|DE-AT-LU","Without Sequence",18.12,"02/01/2016 09:00:00","2016-01-02T10:00","CET","2016-01-02T09:00"
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|DE-AT-LU","Without Sequence",19.59,"02/01/2016 10:00:00","2016-01-02T11:00","CET","2016-01-02T10:00"
