"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/10/2018 00:00:00 - 01/10/2018 00:15:00","BZN|DE-LU","Sequence Sequence 1","59.53","",""
"01/10/2018 00:00:00 - 01/10/2018 00:15:00","BZN|DE-LU","Sequence Sequence 2","49.30","",""
"01/10/2018 00:15:00 - 01/10/2018 00:30:00","BZN|DE-LU","Sequence Sequence 1","59.53","",""
"01/10/2018 00:15:00 - 01/10/2018 00:30:00","BZN|DE-LU","Sequence Sequence 2","44.38","",""
"01/10/2018 00:30:00 - 01/10/2018 00:45:00","BZN|DE-LU","Sequence Sequence 1","59.53","",""
"01/10/2018 00:30:00 - 01/10/2018 00:45:00","BZN|DE-LU","Sequence Sequence 2","36.99","",""
"01/10/2018 00:45:00 - 01/10/2018 01:00:00","BZN|DE-LU","Sequence Sequence 1","59.53","",""
"01/10/2018 00:45:00 - 01/10/2018 01:00:00","BZN|DE-LU","Sequence Sequence 2","35.54","",""
"01/10/2018 01:00:00 - 01/10/2018 01:15:00","BZN|DE-LU","Sequence Sequence 1","56.10","",""
"01/10/2018 01:00:00 - 01/10/2018 01:15:00","BZN|DE-LU","Sequence Sequence 2","46.50","",""
"01/10/2018 01:15:00 - 01/10/2018 01:30:00","BZN|DE-LU","Sequence Sequence 1","56.10","",""
"01/10/2018 01:15:00 - 01/10/2018 01:30:00","BZN|DE-LU","Sequence Sequence 2","41.60","",""
"01/10/2018 01:30:00 - 01/10/2018 01:45:00","BZN|DE-LU","Sequence Sequence 1","56.10","",""
"01/10/2018 01:30:00 - 01/10/2018 01:45:00","BZN|DE-LU","Sequence Sequence 2","37.84","",""
"01/10/2018 01:45:00 - 01/10/2018 02:00:00","BZN|DE-LU","Sequence Sequence 1","56.10","",""
"01/10/2018 01:45:00 - 01/10/2018 02:00:00","BZN|DE-LU","Sequence Sequence 2","36.86","",""
"01/10/2018 02:00:00 - 01/10/2018 02:15:00","BZN|DE-LU","Sequence Sequence 1","51.41","",""
"01/10/2018 02:00:00 - 01/10/2018 02:15:00","BZN|DE-LU","Sequence Sequence 2","42.10","",""
"01/10/2018 02:15:00 - 01/10/2018 02:30:00","BZN|DE-LU","Sequence Sequence 1","51.41","",""
"01/10/2018 02:15:00 - 01/10/2018 02:30:00","BZN|DE-LU","Sequence Sequence 2","38.01","",""
"01/10/2018 02:30:00 - 01/10/2018 02:45:00","BZN|DE-LU","Sequence Sequence 1","51.41","",""
"01/10/2018 02:30:00 - 01/10/2018 02:45:00","BZN|DE-LU","Sequence Sequence 2","39.77","",""
"01/10/2018 02:45:00 - 01/10/2018 03:00:00","BZN|DE-LU","Sequence Sequence 1","51.41","",""
"01/10/2018 02:45:00 - 01/10/2018 03:00:00","BZN|DE-LU","Sequence Sequence 2","40.09","",""
"01/10/2018 03:00:00 - 01/10/2018 03:15:00","BZN|DE-LU","Sequence Sequence 1","47.38","",""
"01/10/2018 03:00:00 - 01/10/2018 03:15:00","BZN|DE-LU","Sequence Sequence 2","38.90","",""
