"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","MTU (CET/CEST) Start","MTU (CET/CEST) End","SummerIndicator","MTU (CET/CEST) End UTC"
"01/10/2018 00:00:00 - 01/10/2018 00:15:00","BZN|DE-LU","Sequence Sequence 1",59.53,"01/10/2018 00:00:00","2018-10-01T00:15","CET","2018-09-30T23:15"
"01/10/2018 00:15:00 - 01/10/2018 00:30:00","BZN|DE-LU","Sequence Sequence 1",59.53,"01/10/2018 00:15:00","2018-10-01T00:30","CET","2018-09-30T23:30"
"01/10/2018 00:30:00 - 01/10/2018 00:45:00","BZN|DE-LU","Sequence Sequence 1",59.53,"01/10/2018 00:30:00","2018-10-01T00:45","CET","2018-09-30T23:45"
"01/10/2018 00:45:00 - 01/10/2018 01:00:00","BZN|DE-LU","Sequence Sequence 1",59.53,"01/10/2018 00:45:00","2018-10-01T01:00","CET","2018-10-01T00:00"
"01/10/2018 01:00:00 - 01/10/2018 01:15:00","BZN|DE-LU","Sequence Sequence 1",56.1,"01/10/2018 01:00:00","2018-10-01T01:15","CET","2018-10-01T00:15"
"01/10/2018 01:15:00 - 01/10/2018 01:30:00","BZN|DE-LU","Sequence Sequence 1",56.1,"01/10/2018 01:15:00","2018-10-01T01:30","CET","2018-10-01T00:30"
"01/10/2018 01:30:00 - 01/10/2018 01:45:00","BZN|DE-LU","Sequence Sequence 1",56.1,"01/10/2018 01:30:00","2018-10-01T01:45","CET","2018-10-01T00:45"
"01/10/2018 01:45:00 - 01/10/2018 02:00:00","BZN|DE-LU","Sequence Sequence 1",56.1,"01/10/2018 01:45:00","2018-10-01T02:00","CET","2018-10-01T01:00"
"01/10/2018 02:00:00 - 01/10/2018 02:15:00","BZN|DE-LU","Sequence Sequence 1",51.41,"01/10/2018 02:00:00","2018-10-01T02:15","CET","2018-10-01T01:15"
"01/10/2018 02:15:00 - 01/10/2018 02:30:00","BZN|DE-LU","Sequence Sequence 1",51.41,"01/10/2018 02:15:00","2018-10-01T02:30","CET","2018-10-01T01:30"
"01/10/2018 02:30:00 - 01/10/2018 02:45:00","BZN|DE-LU","Sequence Sequence 1",51.41,"01/10/2018 02:30:00","2018-10-01T02:45","CET","2018-10-01T01:45"
"01/10/2018 02:45:00 - 01/10/2018 03:00:00","BZN|DE-LU","Sequence Sequence 1",51.41,"01/10/2018 02:45:00","2018-10-01T03:00","CET","2018-10-01T02:00"
"01/10/2018 03:00:00 - 01/10/2018 03:15:00","BZN|DE-LU","Sequence Sequence 1",47.38,"01/10/2018 03:00:00","2018-10-01T03:15","CET","2018-10-01T02:15"
"01/10/2018 03:15:00 - 01/10/2018 03:30:00","BZN|DE-LU","Sequence Sequence 1",47.38,"01/10/2018 03:15:00","2018-10-01T03:30","CET","2018-10-01T02:30"
"01/10/2018 03:30:00 - 01/10/2018 03:45:00","BZN|DE-LU","Sequence Sequence 1",47.38,"01/10/2018 03:30:00","2018-10-01T03:45","CET","2018-10-01T02:45"
"01/10/2018 03:45:00 - 01/10/2018 04:00:00","BZN|DE-LU","Sequence Sequence 1",47.38,"01/10/2018 03:45:00","2018-10-01T04:00","CET","2018-10-01T03:00"
"01/10/2018 04:00:00 - 01/10/2018 04:15:00","BZN|DE-LU","Sequence Sequence 1",47.59,"01/10/2018 04:00:00","2018-10-01T04:15","CET","2018-10-01T03:15"
"01/10/2018 04:15:00 - 01/10/2018 04:30:00","BZN|DE-LU","Sequence Sequence 1",47.59,"01/10/2018 04:15:00","2018-10-01T04:30","CET","2018-10-01T03:30"
"01/10/2018 04:30:00 - 01/10/2018 04:45:00","BZN|DE-LU","Sequence Sequence 1",47.59,"01/10/2018 04:30:00","2018-10-01T04:45","CET","2018-10-01T03:45"
