"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DE-AT-LU","Without Sequence","20.96","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DE-AT-LU","Without Sequence","20.90","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DE-AT-LU","Without Sequence","18.13","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|DE-AT-LU","Without Sequence","16.03","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|DE-AT-LU","Without Sequence","16.43","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|DE-AT-LU","Without Sequence","13.75","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|DE-AT-LU","Without Sequence","11.10","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|DE-AT-LU","Without Sequence","15.47","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|DE-AT-LU","Without Sequence","16.88","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|DE-AT-LU","Without Sequence","21.81","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|DE-AT-LU","Without Sequence","26.24","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|DE-AT-LU","Without Sequence","26.42","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|DE-AT-LU","Without Sequence","27.66","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|DE-AT-LU","Without Sequence","28.70","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|DE-AT-LU","Without Sequence","29.66","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|DE-AT-LU","Without Sequence","35.33","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|DE-AT-LU","Without Sequence","44.12","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|DE-AT-LU","Without Sequence","51.59","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|DE-AT-LU","Without Sequence","53.95","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|DE-AT-LU","Without Sequence","50.97","",""
