"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DE-AT-LU","Without Sequence","-5.27","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DE-AT-LU","Without Sequence","-29.99","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|DE-AT-LU","Without Sequence","-56.65","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|DE-AT-LU","Without Sequence","-63.14","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|DE-AT-LU","Without Sequence","-64.62","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|DE-AT-LU","Without Sequence","-67.00","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|DE-AT-LU","Without Sequence","-72.54","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|DE-AT-LU","Without Sequence","-76.01","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|DE-AT-LU","Without Sequence","-71.45","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|DE-AT-LU","Without Sequence","-66.88","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|DE-AT-LU","Without Sequence","-62.00","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|DE-AT-LU","Without Sequence","-56.08","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|DE-AT-LU","Without Sequence","-49.96","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|DE-AT-LU","Without Sequence","-24.29","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|DE-AT-LU","Without Sequence","-5.59","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|DE-AT-LU","Without Sequence","0.23","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|DE-AT-LU","Without Sequence","11.02","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|DE-AT-LU","Without Sequence","23.50","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|DE-AT-LU","Without Sequence","22.91","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|DE-AT-LU","Without Sequence","21.02","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|DE-AT-LU","Without Sequence","21.05","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|DE-AT-LU","Without Sequence","21.95","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|DE-AT-LU","Without Sequence","23.52","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|DE-AT-LU","Without Sequence","23.52","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|DE-AT-LU","Without Sequence","18.12","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|DE-AT-LU","Without Sequence","14.99","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|DE-AT-LU","Without Sequence","13.63","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|DE-AT-LU","Without Sequence","12.15","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|DE-AT-LU","Without Sequence","11.83","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|DE-AT-LU","Without Sequence","14.55","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|DE-AT-LU","Without Sequence","22.58","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|DE-AT-LU","Without Sequence","41.92","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|DE-AT-LU","Without Sequence","47.95","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|DE-AT-LU","Without Sequence","49.90","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|DE-AT-LU","Without Sequence","50.00","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|DE-AT-LU","Without Sequence","49.70","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|DE-AT-LU","Without Sequence","48.16","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|DE-AT-LU","Without Sequence","47.24","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|DE-AT-LU","Without Sequence","46.10","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|DE-AT-LU","Without Sequence","43.86","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|DE-AT-LU","Without Sequence","43.64","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|DE-AT-LU","Without Sequence","47.37","",""
