"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 00:15","BZN|DE-LU","45093.08","42903.50"
"01/01/2022 00:15 - 01/01/2022 00:30","BZN|DE-LU","44672.81","42532.74"
"01/01/2022 00:30 - 01/01/2022 00:45","BZN|DE-LU","44157.58","42126.37"
"01/01/2022 00:45 - 01/01/2022 01:00","BZN|DE-LU","43480.98","41678.22"
"01/01/2022 01:00 - 01/01/2022 01:15","BZN|DE-LU","42621.48","41113.34"
"01/01/2022 01:15 - 01/01/2022 01:30","BZN|DE-LU","42229.93","40519.63"
"01/01/2022 01:30 - 01/01/2022 01:45","BZN|DE-LU","41561.68","40138.33"
"01/01/2022 01:45 - 01/01/2022 02:00","BZN|DE-LU","41417.97","39905.08"
"01/01/2022 02:00 - 01/01/2022 02:15","BZN|DE-LU","41590.84","39543.71"
"01/01/2022 02:15 - 01/01/2022 02:30","BZN|DE-LU","41044.07","39343.10"
"01/01/2022 02:30 - 01/01/2022 02:45","BZN|DE-LU","40567.82","38806.44"
"01/01/2022 02:45 - 01/01/2022 03:00","BZN|DE-LU","40349.14","38690.21"
"01/01/2022 03:00 - 01/01/2022 03:15","BZN|DE-LU","40072.19","38320.22"
"01/01/2022 03:15 - 01/01/2022 03:30","BZN|DE-LU","39961.97","38109.94"
"01/01/2022 03:30 - 01/01/2022 03:45","BZN|DE-LU","39946.21","38034.49"
"01/01/2022 03:45 - 01/01/2022 04:00","BZN|DE-LU","39875.56","37801.55"
"01/01/2022 04:00 - 01/01/2022 04:15","BZN|DE-LU","39844.42","38195.42"
"01/01/2022 04:15 - 01/01/2022 04:30","BZN|DE-LU","39673.74","38202.49"
"01/01/2022 04:30 - 01/01/2022 04:45","BZN|DE-LU","39880.72","38237.96"
"01/01/2022 04:45 - 01/01/2022 05:00","BZN|DE-LU","39535.06","38118.39"
"01/01/2022 05:00 - 01/01/2022 05:15","BZN|DE-LU","39509.47","37764.20"
