"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2026 00:00 - 01/01/2026 00:15","BZN|DE-LU","45866.93","47568.38"
"01/01/2026 00:15 - 01/01/2026 00:30","BZN|DE-LU","45497.79","46773.53"
"01/01/2026 00:30 - 01/01/2026 00:45","BZN|DE-LU","45575.26","46632.89"
"01/01/2026 00:45 - 01/01/2026 01:00","BZN|DE-LU","45464.99","46143.82"
"01/01/2026 01:00 - 01/01/2026 01:15","BZN|DE-LU","45454.19","45460.91"
"01/01/2026 01:15 - 01/01/2026 01:30","BZN|DE-LU","45432.66","45030.32"
"01/01/2026 01:30 - 01/01/2026 01:45","BZN|DE-LU","45337.09","44526.23"
"01/01/2026 01:45 - 01/01/2026 02:00","BZN|DE-LU","45136.62","44365.68"
"01/01/2026 02:00 - 01/01/2026 02:15","BZN|DE-LU","44943.76","44192.18"
"01/01/2026 02:15 - 01/01/2026 02:30","BZN|DE-LU","44881.65","44258.84"
"01/01/2026 02:30 - 01/01/2026 02:45","BZN|DE-LU","44803.06","44031.08"
"01/01/2026 02:45 - 01/01/2026 03:00","BZN|DE-LU","44210.00","43861.02"
"01/01/2026 03:00 - 01/01/2026 03:15","BZN|DE-LU","43380.79","43626.04"
"01/01/2026 03:15 - 01/01/2026 03:30","BZN|DE-LU","43339.94","43559.38"
"01/01/2026 03:30 - 01/01/2026 03:45","BZN|DE-LU","43181.47","43575.80"
"01/01/2026 03:45 - 01/01/2026 04:00","BZN|DE-LU","43204.69","43369.52"
"01/01/2026 04:00 - 01/01/2026 04:15","BZN|DE-LU","43221.96","43505.19"
"01/01/2026 04:15 - 01/01/2026 04:30","BZN|DE-LU","43262.50","43245.21"
"01/01/2026 04:30 - 01/01/2026 04:45","BZN|DE-LU","43480.83","43200.53"
"01/01/2026 04:45 - 01/01/2026 05:00","BZN|DE-LU","43219.29","43308.50"
"01/01/2026 05:00 - 01/01/2026 05:15","BZN|DE-LU","42826.52","43468.82"
"01/01/2026 05:15 - 01/01/2026 05:30","BZN|DE-LU","42518.50","43256.03"
"01/01/2026 05:30 - 01/01/2026 05:45","BZN|DE-LU","43024.46","43357.70"
"01/01/2026 05:45 - 01/01/2026 06:00","BZN|DE-LU","43370.26","43365.12"
"01/01/2026 06:00 - 01/01/2026 06:15","BZN|DE-LU","42617.57","43556.33"
"01/01/2026 06:15 - 01/01/2026 06:30","BZN|DE-LU","42396.09","43861.28"
"01/01/2026 06:30 - 01/01/2026 06:45","BZN|DE-LU","42211.73","44198.27"
"01/01/2026 06:45 - 01/01/2026 07:00","BZN|DE-LU","42506.49","44492.28"
"01/01/2026 07:00 - 01/01/2026 07:15","BZN|DE-LU","42900.35","45343.94"
"01/01/2026 07:15 - 01/01/2026 07:30","BZN|DE-LU","43200.52","45895.39"
"01/01/2026 07:30 - 01/01/2026 07:45","BZN|DE-LU","43621.96","46467.24"
"01/01/2026 07:45 - 01/01/2026 08:00","BZN|DE-LU","44415.56","46875.88"
"01/01/2026 08:00 - 01/01/2026 08:15","BZN|DE-LU","44612.18","47311.25"
"01/01/2026 08:15 - 01/01/2026 08:30","BZN|DE-LU","44942.59","47768.34"
"01/01/2026 08:30 - 01/01/2026 08:45","BZN|DE-LU","45661.60","48657.40"
"01/01/2026 08:45 - 01/01/2026 09:00","BZN|DE-LU","46041.21","49503.11"
"01/01/2026 09:00 - 01/01/2026 09:15","BZN|DE-LU","47097.86","50221.98"
"01/01/2026 09:15 - 01/01/2026 09:30","BZN|DE-LU","47869.32","50746.12"
"01/01/2026 09:30 - 01/01/2026 09:45","BZN|DE-LU","48841.95","51274.73"
"01/01/2026 09:45 - 01/01/2026 10:00","BZN|DE-LU","49379.66","51891.37"
"01/01/2026 10:00 - 01/01/2026 10:15","BZN|DE-LU","49639.02","52139.09"
"01/01/2026 10:15 - 01/01/2026 10:30","BZN|DE-LU","50394.51","52642.07"
"01/01/2026 10:30 - 01/01/2026 10:45","BZN|DE-LU","50808.21","52678.43"
"01/01/2026 10:45 - 01/01/2026 11:00","BZN|DE-LU","51478.64","53303.89"
"01/01/2026 11:00 - 01/01/2026 11:15","BZN|DE-LU","51660.20","53404.90"
"01/01/2026 11:15 - 01/01/2026 11:30","BZN|DE-LU","52238.60","53823.39"
"01/01/2026 11:30 - 01/01/2026 11:45","BZN|DE-LU","52617.75","54088.92"
"01/01/2026 11:45 - 01/01/2026 12:00","BZN|DE-LU","53356.79","54017.55"
"01/01/2026 12:00 - 01/01/2026 12:15","BZN|DE-LU","53523.98","54229.15"
"01/01/2026 12:15 - 01/01/2026 12:30","BZN|DE-LU","53677.77","54069.39"
"01/01/2026 12:30 - 01/01/2026 12:45","BZN|DE-LU","53719.83","54118.95"
"01/01/2026 12:45 - 01/01/2026 13:00","BZN|DE-LU","53684.20","53911.24"
"01/01/2026 13:00 - 01/01/2026 13:15","BZN|DE-LU","53110.93","53617.44"
"01/01/2026 13:15 - 01/01/2026 13:30","BZN|DE-LU","52895.03","53239.34"
"01/01/2026 13:30 - 01/01/2026 13:45","BZN|DE-LU","52944.66","53385.42"
"01/01/2026 13:45 - 01/01/2026 14:00","BZN|DE-LU","52933.16","52969.50"
