"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 00:15","BZN|DE-AT-LU","52689.66","49460.01"
"01/01/2018 00:15 - 01/01/2018 00:30","BZN|DE-AT-LU","52114.36","48551.54"
"01/01/2018 00:30 - 01/01/2018 00:45","BZN|DE-AT-LU","51673.17","47995.83"
"01/01/2018 00:45 - 01/01/2018 01:00","BZN|DE-AT-LU","51425.50","47412.12"
"01/01/2018 01:00 - 01/01/2018 01:15","BZN|DE-AT-LU","51153.14","46840.67"
"01/01/2018 01:15 - 01/01/2018 01:30","BZN|DE-AT-LU","50907.41","46326.63"
"01/01/2018 01:30 - 01/01/2018 01:45","BZN|DE-AT-LU","50244.34","45856.16"
"01/01/2018 01:45 - 01/01/2018 02:00","BZN|DE-AT-LU","49907.74","45534.57"
"01/01/2018 02:00 - 01/01/2018 02:15","BZN|DE-AT-LU","49577.01","45216.52"
"01/01/2018 02:15 - 01/01/2018 02:30","BZN|DE-AT-LU","49229.92","45036.48"
"01/01/2018 02:30 - 01/01/2018 02:45","BZN|DE-AT-LU","49271.06","44843.79"
"01/01/2018 02:45 - 01/01/2018 03:00","BZN|DE-AT-LU","48774.93","44729.55"
"01/01/2018 03:00 - 01/01/2018 03:15","BZN|DE-AT-LU","48638.62","44590.02"
"01/01/2018 03:15 - 01/01/2018 03:30","BZN|DE-AT-LU","48359.63","44567.37"
"01/01/2018 03:30 - 01/01/2018 03:45","BZN|DE-AT-LU","48110.37","44572.76"
"01/01/2018 03:45 - 01/01/2018 04:00","BZN|DE-AT-LU","47961.64","44615.83"
"01/01/2018 04:00 - 01/01/2018 04:15","BZN|DE-AT-LU","48139.48","44755.30"
"01/01/2018 04:15 - 01/01/2018 04:30","BZN|DE-AT-LU","48034.90","44861.24"
"01/01/2018 04:30 - 01/01/2018 04:45","BZN|DE-AT-LU","48112.74","44939.03"
"01/01/2018 04:45 - 01/01/2018 05:00","BZN|DE-AT-LU","48108.92","44904.29"
"01/01/2018 05:00 - 01/01/2018 05:15","BZN|DE-AT-LU","48333.86","45298.04"
"01/01/2018 05:15 - 01/01/2018 05:30","BZN|DE-AT-LU","48045.26","45142.89"
"01/01/2018 05:30 - 01/01/2018 05:45","BZN|DE-AT-LU","47919.50","45149.74"
"01/01/2018 05:45 - 01/01/2018 06:00","BZN|DE-AT-LU","47569.02","44856.31"
"01/01/2018 06:00 - 01/01/2018 06:15","BZN|DE-AT-LU","46957.92","44049.03"
"01/01/2018 06:15 - 01/01/2018 06:30","BZN|DE-AT-LU","46815.01","44393.72"
"01/01/2018 06:30 - 01/01/2018 06:45","BZN|DE-AT-LU","46926.38","44465.49"
"01/01/2018 06:45 - 01/01/2018 07:00","BZN|DE-AT-LU","47142.29","44828.50"
"01/01/2018 07:00 - 01/01/2018 07:15","BZN|DE-AT-LU","47619.61","45331.51"
"01/01/2018 07:15 - 01/01/2018 07:30","BZN|DE-AT-LU","47729.95","45853.46"
"01/01/2018 07:30 - 01/01/2018 07:45","BZN|DE-AT-LU","48023.23","46678.80"
"01/01/2018 07:45 - 01/01/2018 08:00","BZN|DE-AT-LU","48367.39","47839.61"
"01/01/2018 08:00 - 01/01/2018 08:15","BZN|DE-AT-LU","48789.33","48794.45"
"01/01/2018 08:15 - 01/01/2018 08:30","BZN|DE-AT-LU","48843.93","49394.83"
"01/01/2018 08:30 - 01/01/2018 08:45","BZN|DE-AT-LU","49335.31","50065.70"
"01/01/2018 08:45 - 01/01/2018 09:00","BZN|DE-AT-LU","49846.65","50764.54"
"01/01/2018 09:00 - 01/01/2018 09:15","BZN|DE-AT-LU","50899.59","51950.37"
"01/01/2018 09:15 - 01/01/2018 09:30","BZN|DE-AT-LU","51513.08","52905.47"
"01/01/2018 09:30 - 01/01/2018 09:45","BZN|DE-AT-LU","52288.33","53377.95"
"01/01/2018 09:45 - 01/01/2018 10:00","BZN|DE-AT-LU","52978.31","53922.38"
"01/01/2018 10:00 - 01/01/2018 10:15","BZN|DE-AT-LU","53851.08","54841.65"
"01/01/2018 10:15 - 01/01/2018 10:30","BZN|DE-AT-LU","54506.40","55694.33"
"01/01/2018 10:30 - 01/01/2018 10:45","BZN|DE-AT-LU","55205.46","56226.41"
"01/01/2018 10:45 - 01/01/2018 11:00","BZN|DE-AT-LU","55778.46","56888.30"
"01/01/2018 11:00 - 01/01/2018 11:15","BZN|DE-AT-LU","56793.43","57688.04"
"01/01/2018 11:15 - 01/01/2018 11:30","BZN|DE-AT-LU","57628.27","58377.07"
"01/01/2018 11:30 - 01/01/2018 11:45","BZN|DE-AT-LU","58246.44","58989.48"
"01/01/2018 11:45 - 01/01/2018 12:00","BZN|DE-AT-LU","58609.23","59893.97"
"01/01/2018 12:00 - 01/01/2018 12:15","BZN|DE-AT-LU","59106.20","59175.83"
"01/01/2018 12:15 - 01/01/2018 12:30","BZN|DE-AT-LU","59367.64","58954.23"
"01/01/2018 12:30 - 01/01/2018 12:45","BZN|DE-AT-LU","59704.68","58588.40"
"01/01/2018 12:45 - 01/01/2018 13:00","BZN|DE-AT-LU","59595.45","58058.07"
"01/01/2018 13:00 - 01/01/2018 13:15","BZN|DE-AT-LU","59076.83","57706.78"
"01/01/2018 13:15 - 01/01/2018 13:30","BZN|DE-AT-LU","58435.69","57005.98"
"01/01/2018 13:30 - 01/01/2018 13:45","BZN|DE-AT-LU","58179.74","56502.51"
"01/01/2018 13:45 - 01/01/2018 14:00","BZN|DE-AT-LU","57575.98","55934.41"
"01/01/2018 14:00 - 01/01/2018 14:15","BZN|DE-AT-LU","57114.76","55492.68"
