"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","BZN|DE-LU","41015.46","41204.10"
"01/01/2024 00:15 - 01/01/2024 00:30","BZN|DE-LU","40718.10","40265.79"
"01/01/2024 00:30 - 01/01/2024 00:45","BZN|DE-LU","40582.96","39491.81"
"01/01/2024 00:45 - 01/01/2024 01:00","BZN|DE-LU","40023.15","38965.13"
"01/01/2024 01:00 - 01/01/2024 01:15","BZN|DE-LU","39744.85","38678.31"
"01/01/2024 01:15 - 01/01/2024 01:30","BZN|DE-LU","39395.86","38283.82"
"01/01/2024 01:30 - 01/01/2024 01:45","BZN|DE-LU","39017.25","37973.30"
"01/01/2024 01:45 - 01/01/2024 02:00","BZN|DE-LU","38726.60","37407.92"
"01/01/2024 02:00 - 01/01/2024 02:15","BZN|DE-LU","38801.18","37147.44"
"01/01/2024 02:15 - 01/01/2024 02:30","BZN|DE-LU","38427.76","36940.78"
"01/01/2024 02:30 - 01/01/2024 02:45","BZN|DE-LU","38051.40","37065.56"
"01/01/2024 02:45 - 01/01/2024 03:00","BZN|DE-LU","37674.02","37100.05"
"01/01/2024 03:00 - 01/01/2024 03:15","BZN|DE-LU","37695.28","37179.00"
"01/01/2024 03:15 - 01/01/2024 03:30","BZN|DE-LU","37500.89","36859.34"
"01/01/2024 03:30 - 01/01/2024 03:45","BZN|DE-LU","37424.61","36527.81"
"01/01/2024 03:45 - 01/01/2024 04:00","BZN|DE-LU","37412.98","36771.31"
"01/01/2024 04:00 - 01/01/2024 04:15","BZN|DE-LU","37364.61","36643.18"
"01/01/2024 04:15 - 01/01/2024 04:30","BZN|DE-LU","37001.31","36691.44"
"01/01/2024 04:30 - 01/01/2024 04:45","BZN|DE-LU","36994.26","36990.71"
"01/01/2024 04:45 - 01/01/2024 05:00","BZN|DE-LU","37178.92","37015.56"
"01/01/2024 05:00 - 01/01/2024 05:15","BZN|DE-LU","37751.23","37074.87"
"01/01/2024 05:15 - 01/01/2024 05:30","BZN|DE-LU","37532.76","37360.17"
"01/01/2024 05:30 - 01/01/2024 05:45","BZN|DE-LU","37388.00","37615.96"
