"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2015 00:00:00 - 01/01/2015 00:15:00","BZN|DE-AT-LU","258.00","219.00"," ","524.39"
"01/01/2015 00:15:00 - 01/01/2015 00:30:00","BZN|DE-AT-LU","258.00","219.00"," ","521.40"
"01/01/2015 00:30:00 - 01/01/2015 00:45:00","BZN|DE-AT-LU","259.00","218.50"," ","518.56"
"01/01/2015 00:45:00 - 01/01/2015 01:00:00","BZN|DE-AT-LU","259.00","218.50"," ","520.36"
"01/01/2015 01:00:00 - 01/01/2015 01:15:00","BZN|DE-AT-LU","259.00","218.50"," ","520.32"
"01/01/2015 01:15:00 - 01/01/2015 01:30:00","BZN|DE-AT-LU","259.00","218.50"," ","521.88"
"01/01/2015 01:30:00 - 01/01/2015 01:45:00","BZN|DE-AT-LU","259.00","219.50"," ","521.08"
"01/01/2015 01:45:00 - 01/01/2015 02:00:00","BZN|DE-AT-LU","258.00","219.50"," ","519.96"
"01/01/2015 02:00:00 - 01/01/2015 02:15:00","BZN|DE-AT-LU","258.00","219.50"," ","520.84"
"01/01/2015 02:15:00 - 01/01/2015 02:30:00","BZN|DE-AT-LU","258.00","220.00"," ","521.36"
"01/01/2015 02:30:00 - 01/01/2015 02:45:00","BZN|DE-AT-LU","259.00","220.00"," ","517.82"
"01/01/2015 02:45:00 - 01/01/2015 03:00:00","BZN|DE-AT-LU","259.00","220.00"," ","516.11"
"01/01/2015 03:00:00 - 01/01/2015 03:15:00","BZN|DE-AT-LU","259.00","220.50"," ","518.72"
"01/01/2015 03:15:00 - 01/01/2015 03:30:00","BZN|DE-AT-LU","259.00","221.00"," ","524.35"
"01/01/2015 03:30:00 - 01/01/2015 03:45:00","BZN|DE-AT-LU","259.00","221.00"," ","523.39"
"01/01/2015 03:45:00 - 01/01/2015 04:00:00","BZN|DE-AT-LU","259.00","221.00"," ","523.76"
"01/01/2015 04:00:00 - 01/01/2015 04:15:00","BZN|DE-AT-LU","261.00","221.50"," ","524.46"
"01/01/2015 04:15:00 - 01/01/2015 04:30:00","BZN|DE-AT-LU","260.00","221.50"," ","524.10"
"01/01/2015 04:30:00 - 01/01/2015 04:45:00","BZN|DE-AT-LU","260.00","221.50"," ","525.46"
"01/01/2015 04:45:00 - 01/01/2015 05:00:00","BZN|DE-AT-LU","261.00","221.50"," ","524.46"
"01/01/2015 05:00:00 - 01/01/2015 05:15:00","BZN|DE-AT-LU","261.00","221.50"," ","520.43"
"01/01/2015 05:15:00 - 01/01/2015 05:30:00","BZN|DE-AT-LU","262.00","221.50"," ","525.38"
"01/01/2015 05:30:00 - 01/01/2015 05:45:00","BZN|DE-AT-LU","262.00","221.50"," ","525.43"
"01/01/2015 05:45:00 - 01/01/2015 06:00:00","BZN|DE-AT-LU","263.00","221.50"," ","526.38"
"01/01/2015 06:00:00 - 01/01/2015 06:15:00","BZN|DE-AT-LU","263.00","221.50"," ","526.47"
"01/01/2015 06:15:00 - 01/01/2015 06:30:00","BZN|DE-AT-LU","263.00","221.50"," ","526.38"
"01/01/2015 06:30:00 - 01/01/2015 06:45:00","BZN|DE-AT-LU","263.00","221.50"," ","525.74"
"01/01/2015 06:45:00 - 01/01/2015 07:00:00","BZN|DE-AT-LU","264.00","221.50"," ","525.90"
"01/01/2015 07:00:00 - 01/01/2015 07:15:00","BZN|DE-AT-LU","264.00","221.50"," ","525.29"
"01/01/2015 07:15:00 - 01/01/2015 07:30:00","BZN|DE-AT-LU","264.00","221.50"," ","524.65"
"01/01/2015 07:30:00 - 01/01/2015 07:45:00","BZN|DE-AT-LU","264.00","221.50"," ","525.54"
"01/01/2015 07:45:00 - 01/01/2015 08:00:00","BZN|DE-AT-LU","264.00","221.50"," ","526.34"
"01/01/2015 08:00:00 - 01/01/2015 08:15:00","BZN|DE-AT-LU","265.00","221.50"," ","528.98"
"01/01/2015 08:15:00 - 01/01/2015 08:30:00","BZN|DE-AT-LU","265.00","221.50"," ","529.49"
"01/01/2015 08:30:00 - 01/01/2015 08:45:00","BZN|DE-AT-LU","265.00","221.50"," ","530.25"
