"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 00:15:00","BZN|DE-LU","n/e","3216.03"," ","n/e"
"01/01/2018 00:15:00 - 01/01/2018 00:30:00","BZN|DE-LU","n/e","2882.40"," ","n/e"
"01/01/2018 00:30:00 - 01/01/2018 00:45:00","BZN|DE-LU","n/e","2898.91"," ","n/e"
"01/01/2018 00:45:00 - 01/01/2018 01:00:00","BZN|DE-LU","n/e","2936.40"," ","n/e"
"01/01/2018 01:00:00 - 01/01/2018 01:15:00","BZN|DE-LU","n/e","2790.33"," ","n/e"
"01/01/2018 01:15:00 - 01/01/2018 01:30:00","BZN|DE-LU","n/e","2908.07"," ","n/e"
"01/01/2018 01:30:00 - 01/01/2018 01:45:00","BZN|DE-LU","n/e","2930.80"," ","n/e"
"01/01/2018 01:45:00 - 01/01/2018 02:00:00","BZN|DE-LU","n/e","2936.44"," ","n/e"
"01/01/2018 02:00:00 - 01/01/2018 02:15:00","BZN|DE-LU","n/e","2931.32"," ","n/e"
"01/01/2018 02:15:00 - 01/01/2018 02:30:00","BZN|DE-LU","n/e","2950.10"," ","n/e"
"01/01/2018 02:30:00 - 01/01/2018 02:45:00","BZN|DE-LU","n/e","2974.09"," ","n/e"
"01/01/2018 02:45:00 - 01/01/2018 03:00:00","BZN|DE-LU","n/e","2988.59"," ","n/e"
"01/01/2018 03:00:00 - 01/01/2018 03:15:00","BZN|DE-LU","n/e","2971.70"," ","n/e"
"01/01/2018 03:15:00 - 01/01/2018 03:30:00","BZN|DE-LU","n/e","2999.95"," ","n/e"
"01/01/2018 03:30:00 - 01/01/2018 03:45:00","BZN|DE-LU","n/e","2995.25"," ","n/e"
"01/01/2018 03:45:00 - 01/01/2018 04:00:00","BZN|DE-LU","n/e","3019.50"," ","n/e"
"01/01/2018 04:00:00 - 01/01/2018 04:15:00","BZN|DE-LU","n/e","3013.37"," ","n/e"
"01/01/2018 04:15:00 - 01/01/2018 04:30:00","BZN|DE-LU","n/e","2991.73"," ","n/e"
"01/01/2018 04:30:00 - 01/01/2018 04:45:00","BZN|DE-LU","n/e","3010.47"," ","n/e"
"01/01/2018 04:45:00 - 01/01/2018 05:00:00","BZN|DE-LU","n/e","3037.61"," ","n/e"
"01/01/2018 05:00:00 - 01/01/2018 05:15:00","BZN|DE-LU","n/e","3097.16"," ","n/e"
"01/01/2018 05:15:00 - 01/01/2018 05:30:00","BZN|DE-LU","n/e","3090.16"," ","n/e"
"01/01/2018 05:30:00 - 01/01/2018 05:45:00","BZN|DE-LU","n/e","3093.53"," ","n/e"
"01/01/2018 05:45:00 - 01/01/2018 06:00:00","BZN|DE-LU","n/e","3105.29"," ","n/e"
"01/01/2018 06:00:00 - 01/01/2018 06:15:00","BZN|DE-LU","n/e","3119.37"," ","n/e"
"01/01/2018 06:15:00 - 01/01/2018 06:30:00","BZN|DE-LU","n/e","3149.22"," ","n/e"
"01/01/2018 06:30:00 - 01/01/2018 06:45:00","BZN|DE-LU","n/e","3193.29"," ","n/e"
"01/01/2018 06:45:00 - 01/01/2018 07:00:00","BZN|DE-LU","n/e","3238.46"," ","n/e"
"01/01/2018 07:00:00 - 01/01/2018 07:15:00","BZN|DE-LU","n/e","3279.09"," ","n/e"
"01/01/2018 07:15:00 - 01/01/2018 07:30:00","BZN|DE-LU","n/e","3260.12"," ","n/e"
"01/01/2018 07:30:00 - 01/01/2018 07:45:00","BZN|DE-LU","n/e","3252.43"," ","n/e"
"01/01/2018 07:45:00 - 01/01/2018 08:00:00","BZN|DE-LU","n/e","3244.62"," ","n/e"
"01/01/2018 08:00:00 - 01/01/2018 08:15:00","BZN|DE-LU","n/e","3224.97"," ","n/e"
"01/01/2018 08:15:00 - 01/01/2018 08:30:00","BZN|DE-LU","n/e","3215.23"," ","n/e"
"01/01/2018 08:30:00 - 01/01/2018 08:45:00","BZN|DE-LU","n/e","3222.40"," ","n/e"
"01/01/2018 08:45:00 - 01/01/2018 09:00:00","BZN|DE-LU","n/e","3227.57"," ","n/e"
"01/01/2018 09:00:00 - 01/01/2018 09:15:00","BZN|DE-LU","n/e","3230.73"," ","n/e"
"01/01/2018 09:15:00 - 01/01/2018 09:30:00","BZN|DE-LU","n/e","3214.75"," ","n/e"
"01/01/2018 09:30:00 - 01/01/2018 09:45:00","BZN|DE-LU","n/e","3217.77"," ","n/e"
"01/01/2018 09:45:00 - 01/01/2018 10:00:00","BZN|DE-LU","n/e","3217.78"," ","n/e"
"01/01/2018 10:00:00 - 01/01/2018 10:15:00","BZN|DE-LU","n/e","3219.81"," ","n/e"
"01/01/2018 10:15:00 - 01/01/2018 10:30:00","BZN|DE-LU","n/e","3197.84"," ","n/e"
"01/01/2018 10:30:00 - 01/01/2018 10:45:00","BZN|DE-LU","n/e","3204.84"," ","n/e"
"01/01/2018 10:45:00 - 01/01/2018 11:00:00","BZN|DE-LU","n/e","3207.84"," ","n/e"
"01/01/2018 11:00:00 - 01/01/2018 11:15:00","BZN|DE-LU","n/e","3211.13"," ","n/e"
"01/01/2018 11:15:00 - 01/01/2018 11:30:00","BZN|DE-LU","n/e","3204.20"," ","n/e"
"01/01/2018 11:30:00 - 01/01/2018 11:45:00","BZN|DE-LU","n/e","3209.27"," ","n/e"
"01/01/2018 11:45:00 - 01/01/2018 12:00:00","BZN|DE-LU","n/e","3213.34"," ","n/e"
"01/01/2018 12:00:00 - 01/01/2018 12:15:00","BZN|DE-LU","n/e","3218.26"," ","n/e"
"01/01/2018 12:15:00 - 01/01/2018 12:30:00","BZN|DE-LU","n/e","3210.28"," ","n/e"
"01/01/2018 12:30:00 - 01/01/2018 12:45:00","BZN|DE-LU","n/e","3216.30"," ","n/e"
"01/01/2018 12:45:00 - 01/01/2018 13:00:00","BZN|DE-LU","n/e","3217.32"," ","n/e"
"01/01/2018 13:00:00 - 01/01/2018 13:15:00","BZN|DE-LU","n/e","3222.13"," ","n/e"
"01/01/2018 13:15:00 - 01/01/2018 13:30:00","BZN|DE-LU","n/e","3209.09"," ","n/e"
"01/01/2018 13:30:00 - 01/01/2018 13:45:00","BZN|DE-LU","n/e","3209.05"," ","n/e"
"01/01/2018 13:45:00 - 01/01/2018 14:00:00","BZN|DE-LU","n/e","3211.00"," ","n/e"
"01/01/2018 14:00:00 - 01/01/2018 14:15:00","BZN|DE-LU","n/e","3206.96"," ","n/e"
"01/01/2018 14:15:00 - 01/01/2018 14:30:00","BZN|DE-LU","n/e","3189.88"," ","n/e"
"01/01/2018 14:30:00 - 01/01/2018 14:45:00","BZN|DE-LU","n/e","3191.80"," ","n/e"
"01/01/2018 14:45:00 - 01/01/2018 15:00:00","BZN|DE-LU","n/e","3186.72"," ","n/e"
"01/01/2018 15:00:00 - 01/01/2018 15:15:00","BZN|DE-LU","n/e","3182.64"," ","n/e"
"01/01/2018 15:15:00 - 01/01/2018 15:30:00","BZN|DE-LU","n/e","3171.44"," ","n/e"
"01/01/2018 15:30:00 - 01/01/2018 15:45:00","BZN|DE-LU","n/e","3159.22"," ","n/e"
"01/01/2018 15:45:00 - 01/01/2018 16:00:00","BZN|DE-LU","n/e","3140.97"," ","n/e"
"01/01/2018 16:00:00 - 01/01/2018 16:15:00","BZN|DE-LU","n/e","3502.75"," ","n/e"
"01/01/2018 16:15:00 - 01/01/2018 16:30:00","BZN|DE-LU","n/e","3987.22"," ","n/e"
"01/01/2018 16:30:00 - 01/01/2018 16:45:00","BZN|DE-LU","n/e","4000.66"," ","n/e"
"01/01/2018 16:45:00 - 01/01/2018 17:00:00","BZN|DE-LU","n/e","3954.95"," ","n/e"
"01/01/2018 17:00:00 - 01/01/2018 17:15:00","BZN|DE-LU","n/e","3878.28"," ","n/e"
"01/01/2018 17:15:00 - 01/01/2018 17:30:00","BZN|DE-LU","n/e","3767.69"," ","n/e"
"01/01/2018 17:30:00 - 01/01/2018 17:45:00","BZN|DE-LU","n/e","3645.09"," ","n/e"
"01/01/2018 17:45:00 - 01/01/2018 18:00:00","BZN|DE-LU","n/e","3563.40"," ","n/e"
"01/01/2018 18:00:00 - 01/01/2018 18:15:00","BZN|DE-LU","n/e","3500.72"," ","n/e"
