"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 00:15:00","BZN|DE-LU","4275.91","4652.45","2603.75","4212.99"
"01/01/2021 00:15:00 - 01/01/2021 00:30:00","BZN|DE-LU","4158.07","4538.75","2550.64","4072.20"
"01/01/2021 00:30:00 - 01/01/2021 00:45:00","BZN|DE-LU","4042.48","4382.36","2441.68","3793.48"
"01/01/2021 00:45:00 - 01/01/2021 01:00:00","BZN|DE-LU","3932.71","4196.20","2334.19","3669.00"
"01/01/2021 01:00:00 - 01/01/2021 01:15:00","BZN|DE-LU","3820.92","3988.78","2232.13","3686.08"
"01/01/2021 01:15:00 - 01/01/2021 01:30:00","BZN|DE-LU","3708.02","3882.59","2156.13","3600.80"
"01/01/2021 01:30:00 - 01/01/2021 01:45:00","BZN|DE-LU","3597.72","3743.75","2064.26","3479.18"
"01/01/2021 01:45:00 - 01/01/2021 02:00:00","BZN|DE-LU","3488.48","3609.48","1984.90","3379.59"
"01/01/2021 02:00:00 - 01/01/2021 02:15:00","BZN|DE-LU","3377.98","3547.04","1985.70","3311.23"
"01/01/2021 02:15:00 - 01/01/2021 02:30:00","BZN|DE-LU","3267.27","3415.94","1904.05","3259.43"
"01/01/2021 02:30:00 - 01/01/2021 02:45:00","BZN|DE-LU","3163.68","3317.50","1835.23","3185.78"
"01/01/2021 02:45:00 - 01/01/2021 03:00:00","BZN|DE-LU","3063.06","3209.98","1772.15","3062.32"
"01/01/2021 03:00:00 - 01/01/2021 03:15:00","BZN|DE-LU","2968.83","3185.00","1778.69","2971.59"
"01/01/2021 03:15:00 - 01/01/2021 03:30:00","BZN|DE-LU","2903.30","3112.52","1744.13","2826.38"
"01/01/2021 03:30:00 - 01/01/2021 03:45:00","BZN|DE-LU","2834.54","2963.74","1662.17","2690.43"
"01/01/2021 03:45:00 - 01/01/2021 04:00:00","BZN|DE-LU","2764.07","2865.17","1618.60","2611.65"
"01/01/2021 04:00:00 - 01/01/2021 04:15:00","BZN|DE-LU","2698.99","2798.50","1597.82","2575.32"
"01/01/2021 04:15:00 - 01/01/2021 04:30:00","BZN|DE-LU","2643.06","2709.37","1549.10","2483.86"
"01/01/2021 04:30:00 - 01/01/2021 04:45:00","BZN|DE-LU","2590.08","2597.80","1479.67","2433.83"
"01/01/2021 04:45:00 - 01/01/2021 05:00:00","BZN|DE-LU","2535.88","2546.91","1456.24","2383.92"
"01/01/2021 05:00:00 - 01/01/2021 05:15:00","BZN|DE-LU","2485.72","2569.70","1519.67","2279.17"
"01/01/2021 05:15:00 - 01/01/2021 05:30:00","BZN|DE-LU","2451.84","2544.01","1499.00","2152.33"
"01/01/2021 05:30:00 - 01/01/2021 05:45:00","BZN|DE-LU","2422.54","2511.77","1525.28","2084.75"
