"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 00:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 00:15:00 - 01/01/2018 00:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 00:30:00 - 01/01/2018 00:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 00:45:00 - 01/01/2018 01:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 01:00:00 - 01/01/2018 01:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.39"
"01/01/2018 01:15:00 - 01/01/2018 01:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.37"
"01/01/2018 01:30:00 - 01/01/2018 01:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 01:45:00 - 01/01/2018 02:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 02:00:00 - 01/01/2018 02:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 02:15:00 - 01/01/2018 02:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.37"
"01/01/2018 02:30:00 - 01/01/2018 02:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 02:45:00 - 01/01/2018 03:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 03:00:00 - 01/01/2018 03:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 03:15:00 - 01/01/2018 03:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.39"
"01/01/2018 03:30:00 - 01/01/2018 03:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 03:45:00 - 01/01/2018 04:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 04:00:00 - 01/01/2018 04:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.43"
"01/01/2018 04:15:00 - 01/01/2018 04:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.39"
"01/01/2018 04:30:00 - 01/01/2018 04:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 04:45:00 - 01/01/2018 05:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.40"
"01/01/2018 05:00:00 - 01/01/2018 05:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.37"
"01/01/2018 05:15:00 - 01/01/2018 05:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 05:30:00 - 01/01/2018 05:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 05:45:00 - 01/01/2018 06:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.38"
"01/01/2018 06:00:00 - 01/01/2018 06:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.36"
"01/01/2018 06:15:00 - 01/01/2018 06:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.36"
"01/01/2018 06:30:00 - 01/01/2018 06:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.34"
"01/01/2018 06:45:00 - 01/01/2018 07:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.34"
"01/01/2018 07:00:00 - 01/01/2018 07:15:00","BZN|DE-AT-LU","8.32","0.00","0.00","8.69"
"01/01/2018 07:15:00 - 01/01/2018 07:30:00","BZN|DE-AT-LU","8.32","0.00","0.00","8.68"
"01/01/2018 07:30:00 - 01/01/2018 07:45:00","BZN|DE-AT-LU","8.61","0.00","0.00","9.03"
"01/01/2018 07:45:00 - 01/01/2018 08:00:00","BZN|DE-AT-LU","8.69","0.00","0.00","9.17"
"01/01/2018 08:00:00 - 01/01/2018 08:15:00","BZN|DE-AT-LU","20.08","9.78","2.04","15.65"
"01/01/2018 08:15:00 - 01/01/2018 08:30:00","BZN|DE-AT-LU","67.46","40.34","19.54","47.17"
"01/01/2018 08:30:00 - 01/01/2018 08:45:00","BZN|DE-AT-LU","251.42","162.64","83.77","205.68"
"01/01/2018 08:45:00 - 01/01/2018 09:00:00","BZN|DE-AT-LU","598.98","407.48","183.59","507.45"
"01/01/2018 09:00:00 - 01/01/2018 09:15:00","BZN|DE-AT-LU","1039.30","755.96","354.23","898.62"
