"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2017 00:00:00 - 01/01/2017 00:15:00","BZN|DE-AT-LU","N/A","55976.36","N/A"
"01/01/2017 00:15:00 - 01/01/2017 00:30:00","BZN|DE-AT-LU","N/A","55961.11","N/A"
"01/01/2017 00:30:00 - 01/01/2017 00:45:00","BZN|DE-AT-LU","N/A","55906.52","N/A"
"01/01/2017 00:45:00 - 01/01/2017 01:00:00","BZN|DE-AT-LU","N/A","55614.85","N/A"
"01/01/2017 01:00:00 - 01/01/2017 01:15:00","BZN|DE-AT-LU","N/A","55826.85","N/A"
"01/01/2017 01:15:00 - 01/01/2017 01:30:00","BZN|DE-AT-LU","N/A","55564.78","N/A"
"01/01/2017 01:30:00 - 01/01/2017 01:45:00","BZN|DE-AT-LU","N/A","55573.14","N/A"
"01/01/2017 01:45:00 - 01/01/2017 02:00:00","BZN|DE-AT-LU","N/A","55349.06","N/A"
"01/01/2017 02:00:00 - 01/01/2017 02:15:00","BZN|DE-AT-LU","N/A","55473.77","N/A"
"01/01/2017 02:15:00 - 01/01/2017 02:30:00","BZN|DE-AT-LU","N/A","55094.29","N/A"
"01/01/2017 02:30:00 - 01/01/2017 02:45:00","BZN|DE-AT-LU","N/A","54901.18","N/A"
"01/01/2017 02:45:00 - 01/01/2017 03:00:00","BZN|DE-AT-LU","N/A","54671.30","N/A"
"01/01/2017 03:00:00 - 01/01/2017 03:15:00","BZN|DE-AT-LU","N/A","54978.19","N/A"
"01/01/2017 03:15:00 - 01/01/2017 03:30:00","BZN|DE-AT-LU","N/A","54802.12","N/A"
"01/01/2017 03:30:00 - 01/01/2017 03:45:00","BZN|DE-AT-LU","N/A","54714.53","N/A"
"01/01/2017 03:45:00 - 01/01/2017 04:00:00","BZN|DE-AT-LU","N/A","54691.49","N/A"
"01/01/2017 04:00:00 - 01/01/2017 04:15:00","BZN|DE-AT-LU","N/A","54790.01","N/A"
"01/01/2017 04:15:00 - 01/01/2017 04:30:00","BZN|DE-AT-LU","N/A","54423.71","N/A"
"01/01/2017 04:30:00 - 01/01/2017 04:45:00","BZN|DE-AT-LU","N/A","54097.86","N/A"
"01/01/2017 04:45:00 - 01/01/2017 05:00:00","BZN|DE-AT-LU","N/A","54190.44","N/A"
"01/01/2017 05:00:00 - 01/01/2017 05:15:00","BZN|DE-AT-LU","N/A","54389.96","N/A"
"01/01/2017 05:15:00 - 01/01/2017 05:30:00","BZN|DE-AT-LU","N/A","54435.91","N/A"
"01/01/2017 05:30:00 - 01/01/2017 05:45:00","BZN|DE-AT-LU","N/A","54396.12","N/A"
"01/01/2017 05:45:00 - 01/01/2017 06:00:00","BZN|DE-AT-LU","N/A","54375.04","N/A"
"01/01/2017 06:00:00 - 01/01/2017 06:15:00","BZN|DE-AT-LU","N/A","54525.46","N/A"
"01/01/2017 06:15:00 - 01/01/2017 06:30:00","BZN|DE-AT-LU","N/A","54544.14","N/A"
"01/01/2017 06:30:00 - 01/01/2017 06:45:00","BZN|DE-AT-LU","N/A","54406.15","N/A"
"01/01/2017 06:45:00 - 01/01/2017 07:00:00","BZN|DE-AT-LU","N/A","54403.30","N/A"
"01/01/2017 07:00:00 - 01/01/2017 07:15:00","BZN|DE-AT-LU","N/A","54355.48","N/A"
"01/01/2017 07:15:00 - 01/01/2017 07:30:00","BZN|DE-AT-LU","N/A","54139.96","N/A"
"01/01/2017 07:30:00 - 01/01/2017 07:45:00","BZN|DE-AT-LU","N/A","54320.71","N/A"
"01/01/2017 07:45:00 - 01/01/2017 08:00:00","BZN|DE-AT-LU","N/A","54351.47","N/A"
"01/01/2017 08:00:00 - 01/01/2017 08:15:00","BZN|DE-AT-LU","N/A","54177.11","N/A"
"01/01/2017 08:15:00 - 01/01/2017 08:30:00","BZN|DE-AT-LU","N/A","54334.92","N/A"
"01/01/2017 08:30:00 - 01/01/2017 08:45:00","BZN|DE-AT-LU","N/A","54592.80","N/A"
"01/01/2017 08:45:00 - 01/01/2017 09:00:00","BZN|DE-AT-LU","N/A","55108.83","N/A"
"01/01/2017 09:00:00 - 01/01/2017 09:15:00","BZN|DE-AT-LU","N/A","55547.60","N/A"
"01/01/2017 09:15:00 - 01/01/2017 09:30:00","BZN|DE-AT-LU","N/A","56029.30","N/A"
"01/01/2017 09:30:00 - 01/01/2017 09:45:00","BZN|DE-AT-LU","N/A","56537.35","N/A"
"01/01/2017 09:45:00 - 01/01/2017 10:00:00","BZN|DE-AT-LU","N/A","57096.66","N/A"
"01/01/2017 10:00:00 - 01/01/2017 10:15:00","BZN|DE-AT-LU","N/A","57482.45","N/A"
"01/01/2017 10:15:00 - 01/01/2017 10:30:00","BZN|DE-AT-LU","N/A","57905.77","N/A"
"01/01/2017 10:30:00 - 01/01/2017 10:45:00","BZN|DE-AT-LU","N/A","57974.55","N/A"
"01/01/2017 10:45:00 - 01/01/2017 11:00:00","BZN|DE-AT-LU","N/A","58191.77","N/A"
